country_name,iso3,cthi_2019_value,cthi_2021_value,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,cthi_2019_gsw,cthi_2021_gsw,fsi_2011_gsw,fsi_2013_gsw,fsi_2015_gsw,fsi_2018_gsw,fsi_2020_gsw,fsi_2022_gsw,cthi_2019_score,cthi_2021_score,cthi_2019_rank,cthi_2021_rank,fsi_2011_rank,fsi_2013_rank,fsi_2015_rank,fsi_2018_rank,fsi_2020_rank,fsi_2022_rank,fsi_2011_score,fsi_2013_score,fsi_2015_score,fsi_2018_score,fsi_2020_score,fsi_2022_score,cthi_2019_share,cthi_2021_share
Aruba,ABW,91.66225234547883,94.11295535067948,124.9300921,113.3252,99.5278,148.0466,76.65347324,159.364604258608,0.00004049563350379141,0.00002030295529664649,0.0000286,0.00334,0.0032958,0.0000385,0.0000074,0.0000891212985152379,64.38666499360001,70.13456512076104,54,56,48,55,57,68,112,75,74.2,70.6,67.71,75.975,73.275,70.925,0.0024131033697343,0.002126485232601
Afghanistan,AFG,,,,,,,,,0.000007935025535274585,0.00001398636624756425,,,,0.0000717,0.00000947,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,345.4517203,335.726662488047,0.0003903644614494,0.0002621445716114,,,,0.0003312,0.000316819,0.000299993873341,,,,,,,,,35,33,,,,,79.725,79.45,,
Anguilla,AIA,232.9232201074152,254.9138809531359,36.04731967,96.76443,89.38037,195.0371,192.9863302,199.868287614495,0.000012636836209492933,0.00001656458099990929,3.79e-7,0.00101,0.0019521,0.0000736,0.0000657,0.0001007623941404,100,100,35,39,66,61,63,56,62,58,79.27,76.47,69.24,77.5,78.2,75.45,0.00613194409856,0.0057597872833982
Albania,ALB,,,,,,,,46.9009190392295,0.0001243960121309,0.0001338229163627,,,,0.0000042,0.0000163,0.0000245224073296413,,,,,,,,,,123,,,,,,54.45,,
Andorra,AND,109.22564464761687,67.00476563954612,133.6207578,43.37763,27.32231,35.05223,38.8370971,80.0128885228656,0.00003652441897572235,0.00002463364892564007,0.0000392,0.0000935,0.0000225,0.0000018,0.0000075,0.0001121425884775,69.04854058846666,61.29441797701632,51,62,46,74,87,105,123,114,73.27,76.27,76.6,66.05,58.325,54.95,0.0028754777939249,0.0015139748201028
Netherlands Antilles,ANT,,,129.3691558,,,,,,0.0000002780885388540692,0.000004398403004137238,0.0000112,,,0.0000166,,,,,,,47,,,,,,83.31,,,,,,,
United Arab Emirates,ARE,1244.7700060567224,1664.231467206005,439.5830274,419.0078,440.7632,661.1468,605.1966719,648.452012449766,0.0022436778149527,0.0053620929343119,0.0007031,0.06138,0.0854925,0.0014105,0.002092176,0.0022175493650138,98.33333333333334,98.33333333333334,12,10,18,16,10,9,10,8,79.07,79,77.44,83.85,77.925,79.225,0.0327698547580793,0.0376033631656434
Argentina,ARG,,36.22302873789538,,,,,109.3707018,82.2489146996438,0.0013470250323365,0.0013020699201936,,,,0.000124,0.000285244,0.0003339392424095,,32.13101476340773,,68,,,,,94,111,,,,,54.975,49.125,,0.0008184604914828
Armenia,ARM,,,,,,,,,0.00007222573794885066,0.00007253187919156279,,,,0.0000132,0.0000275,,,,,,,,,,,,,,,,,,,
